Country;Attribute;Covid_Stringency
Afghanistan;2020;41,94569061
Afghanistan;2021;29,24221918
Afghanistan;2022;11,41564384
Albania;2020;55,8060221
Albania;2021;48,59090411
Albania;2022;21,52254795
Algeria;2020;60,88975138
Algeria;2021;59,29178082
Algeria;2022;25,55463014
Andorra;2020;38,63928177
Andorra;2021;49,39364384
Andorra;2022;12,83671233
Angola;2020;58,97140884
Angola;2021;58,86306849
Angola;2022;37,65684932
Argentina;2020;71,36551913
Argentina;2021;66,8409863
Argentina;2022;19,0290137
Aruba;2020;45,66422652
Aruba;2021;42,77775342
Aruba;2022;26,7889863
Australia;2020;56,47168508
Australia;2021;61,46345205
Australia;2022;24,24939726
Austria;2020;47,58527624
Austria;2021;61,62435616
Austria;2022;38,74547945
Azerbaijan;2020;66,20243094
Azerbaijan;2021;65,46446575
Azerbaijan;2022;49,01624658
Bahamas;2020;65,34055249
Bahamas;2021;62,12446575
Bahamas;2022;30,10030137
Bahrain;2020;55,80160221
Bahrain;2021;44,102
Bahrain;2022;14,03767123
Bangladesh;2020;66,7411326
Bangladesh;2021;64,03383562
Bangladesh;2022;19,83068493
Barbados;2020;45,77792818
Barbados;2021;64,18619178
Barbados;2022;34,07293151
Belarus;2020;25,19375691
Belarus;2021;34,2490137
Belarus;2022;10,90457534
Belgium;2020;52,10002762
Belgium;2021;50,11490411
Belgium;2022;15,46213699
Belize;2020;58,65522099
Belize;2021;62,25578082
Belize;2022;23,75156164
Benin;2020;38,25798343
Benin;2021;40,46769863
Benin;2022;18,20024658
Bermuda;2020;46,01209945
Bermuda;2021;49,38994521
Bermuda;2022;23,29172603
Bhutan;2020;64,63453039
Bhutan;2021;58,23676712
Bhutan;2022;29,84975342
Bolivia;2020;67,94240331
Bolivia;2021;33,68230137
Bolivia;2022;25,92835616
Bosnia and Herzegovina;2020;47,33925414
Bosnia and Herzegovina;2021;38,78657534
Bosnia and Herzegovina;2022;30,41736986
Botswana;2020;51,40616022
Botswana;2021;50,62016438
Botswana;2022;7,908027397
Brazil;2020;58,14104972
Brazil;2021;59,72449315
Brazil;2022;28,37306849
Brunei;2020;38,74292818
Brunei;2021;52,79276712
Brunei;2022;27,3790137
Bulgaria;2020;41,54237569
Bulgaria;2021;48,39558904
Bulgaria;2022;19,00528767
Burkina Faso;2020;31,70392265
Burkina Faso;2021;19,65
Burkina Faso;2022;10,44753425
Burundi;2020;11,97475138
Burundi;2021;16,09010959
Burundi;2022;19,62682192
Cambodia;2020;44,66411602
Cambodia;2021;71,00484932
Cambodia;2022;20,18646575
Cameroon;2020;42,53041436
Cameroon;2021;31,25909589
Cameroon;2022;21,27191781
Canada;2020;56,41143646
Canada;2021;69,41293151
Canada;2022;25,71079452
Cape Verde;2020;58,92135359
Cape Verde;2021;59,33367123
Cape Verde;2022;26,83328767
Central African Republic;2020;40,00171271
Central African Republic;2021;16,27071233
Central African Republic;2022;15,83227397
Chad;2020;55,19104972
Chad;2021;30,00457534
Chad;2022;24,29835616
Chile;2020;65,88604972
Chile;2021;64,63060274
Chile;2022;24,32643836
China;2020;69,02779006
China;2021;74,11605479
China;2022;77,564
Colombia;2020;63,89298343
Colombia;2021;61,00991781
Colombia;2022;27,75649315
Congo;2020;52,58859116
Congo;2021;45,12271233
Congo;2022;33,43334247
Costa Rica;2020;54,99527624
Costa Rica;2021;56,32726027
Costa Rica;2022;19,16936986
Cote d'Ivoire;2020;39,29524862
Cote d'Ivoire;2021;19,70041096
Cote d'Ivoire;2022;16,02465753
Croatia;2020;43,85151934
Croatia;2021;40,75468493
Croatia;2022;16,05775342
Cuba;2020;61,27734807
Cuba;2021;68,03665753
Cuba;2022;15,35884932
Cyprus;2020;53,7608011
Cyprus;2021;59,17147945
Cyprus;2022;22,92134247
Czechia;2020;45,2720442
Czechia;2021;55,17043836
Czechia;2022;18,49942466
Democratic Republic of Congo;2020;44,88334254
Democratic Republic of Congo;2021;37,13482192
Democratic Republic of Congo;2022;30,74920548
Denmark;2020;46,87734807
Denmark;2021;46,20558904
Denmark;2022;13,33482192
Djibouti;2020;46,73668508
Djibouti;2021;42,17846575
Djibouti;2022;31,09989041
Dominica;2020;37,45582873
Dominica;2021;44,17087671
Dominica;2022;38,31358904
Dominican Republic;2020;63,94121547
Dominican Republic;2021;60,44868493
Dominican Republic;2022;11,3840274
East Timor;2021;59,4179257
East Timor;2022;18,37539726
Ecuador;2020;59,53651934
Ecuador;2021;59,49013699
Ecuador;2022;24,81126027
Egypt;2020;60,46745856
Egypt;2021;44,26043836
Egypt;2022;25,70676712
El Salvador;2020;64,29723757
El Salvador;2021;33,87361644
El Salvador;2022;26,69956164
Estonia;2020;36,78560773
Estonia;2021;38,12265753
Estonia;2022;21,53671233
Eswatini;2020;56,8451105
Eswatini;2021;60,91635616
Eswatini;2022;28,58983562
Ethiopia;2020;57,10787293
Ethiopia;2021;43,71717808
Ethiopia;2022;34,87983562
Faroe Islands;2021;36,20575668
Faroe Islands;2022;27,30754386
Fiji;2020;50,72458564
Fiji;2021;73,25720548
Fiji;2022;38,65435616
Finland;2020;39,15947514
